[ 00:24:29.489 -->  00:24:30.771] JS SPEAKER_01
[ 00:24:31.345 -->  00:24:39.090] JT SPEAKER_01
[ 00:24:39.664 -->  00:24:42.347] JU SPEAKER_01
[ 00:24:42.482 -->  00:24:43.259] JV SPEAKER_01
[ 00:24:43.934 -->  00:24:46.819] JW SPEAKER_01
[ 00:24:47.646 -->  00:24:51.359] JX SPEAKER_01
[ 00:24:51.544 -->  00:24:51.595] JY SPEAKER_01
[ 00:24:51.645 -->  00:24:54.008] JZ SPEAKER_01
[ 00:24:54.531 -->  00:24:56.033] KA SPEAKER_01
[ 00:24:56.455 -->  00:25:01.534] KB SPEAKER_01
[ 00:25:02.024 -->  00:25:06.563] KC SPEAKER_01
[ 00:25:07.069 -->  00:25:28.686] KD SPEAKER_02
[ 00:25:28.872 -->  00:25:39.790] KE SPEAKER_02
[ 00:25:40.583 -->  00:25:47.670] KF SPEAKER_02
[ 00:25:48.919 -->  00:26:07.515] KG SPEAKER_02
[ 00:26:08.072 -->  00:26:10.452] KH SPEAKER_02
[ 00:26:10.452 -->  00:26:13.489] KI SPEAKER_01
[ 00:26:13.844 -->  00:26:15.329] KJ SPEAKER_01
[ 00:26:15.582 -->  00:26:18.450] KK SPEAKER_01
[ 00:26:19.024 -->  00:26:21.606] KL SPEAKER_01
[ 00:26:22.095 -->  00:26:24.728] KM SPEAKER_01
[ 00:26:25.504 -->  00:26:28.322] KN SPEAKER_01
[ 00:26:28.947 -->  00:26:33.840] KO SPEAKER_01
[ 00:26:34.364 -->  00:26:35.579] KP SPEAKER_01
[ 00:26:36.034 -->  00:26:36.608] KQ SPEAKER_01
[ 00:26:37.182 -->  00:26:40.422] KR SPEAKER_01
[ 00:26:41.384 -->  00:26:42.413] KS SPEAKER_01
[ 00:26:42.615 -->  00:26:50.479] KT SPEAKER_01
[ 00:26:51.053 -->  00:26:54.546] KU SPEAKER_01
[ 00:26:55.086 -->  00:26:58.410] KV SPEAKER_01
[ 00:26:58.984 -->  00:27:03.169] KW SPEAKER_01
[ 00:27:03.777 -->  00:27:08.147] KX SPEAKER_01
[ 00:27:08.552 -->  00:27:14.897] KY SPEAKER_01
[ 00:27:15.302 -->  00:27:19.319] KZ SPEAKER_01
[ 00:27:20.027 -->  00:27:34.287] LA SPEAKER_01
[ 00:27:34.455 -->  00:27:34.472] LB SPEAKER_01
[ 00:27:34.472 -->  00:27:34.506] LC SPEAKER_02
