[ 00:28:22.330 -->  00:28:28.860] IV SPEAKER_02
[ 00:28:28.894 -->  00:28:28.962] IW SPEAKER_02
[ 00:28:29.063 -->  00:28:37.467] IX SPEAKER_02
[ 00:28:37.804 -->  00:28:39.441] IY SPEAKER_02
[ 00:28:39.762 -->  00:28:42.090] IZ SPEAKER_02
[ 00:28:42.782 -->  00:28:47.085] JA SPEAKER_02
[ 00:28:47.558 -->  00:28:48.975] JB SPEAKER_02
[ 00:28:49.060 -->  00:28:51.524] JC SPEAKER_02
[ 00:28:52.030 -->  00:28:53.397] JD SPEAKER_02
[ 00:28:53.700 -->  00:28:53.987] JE SPEAKER_02
[ 00:28:54.443 -->  00:28:57.261] JF SPEAKER_02
[ 00:28:57.582 -->  00:29:01.260] JG SPEAKER_02
[ 00:29:01.581 -->  00:29:02.577] JH SPEAKER_02
[ 00:29:03.032 -->  00:29:04.720] JI SPEAKER_02
[ 00:29:05.260 -->  00:29:06.829] JJ SPEAKER_02
[ 00:29:07.099 -->  00:29:08.179] JK SPEAKER_02
[ 00:29:08.415 -->  00:29:13.697] JL SPEAKER_02
[ 00:29:14.102 -->  00:29:16.785] JM SPEAKER_02
[ 00:29:17.224 -->  00:29:19.249] JN SPEAKER_02
[ 00:29:19.553 -->  00:29:21.173] JO SPEAKER_02
[ 00:29:21.645 -->  00:29:23.012] JP SPEAKER_02
[ 00:29:23.603 -->  00:29:24.885] JQ SPEAKER_02
[ 00:29:25.172 -->  00:29:25.830] JR SPEAKER_02
[ 00:29:26.269 -->  00:29:28.041] JS SPEAKER_02
[ 00:29:28.463 -->  00:29:33.053] JT SPEAKER_02
[ 00:29:33.627 -->  00:29:49.928] JU SPEAKER_02
[ 00:29:50.502 -->  00:29:52.240] JV SPEAKER_02
[ 00:29:52.459 -->  00:30:09.317] JW SPEAKER_02
[ 00:30:10.178 -->  00:30:17.400] JX SPEAKER_02
[ 00:30:18.430 -->  00:30:21.687] JY SPEAKER_02
[ 00:30:22.075 -->  00:30:27.525] JZ SPEAKER_02
[ 00:30:28.099 -->  00:30:29.415] KA SPEAKER_02
[ 00:30:29.534 -->  00:30:30.900] KB SPEAKER_02
[ 00:30:31.052 -->  00:30:32.976] KC SPEAKER_02
[ 00:30:33.668 -->  00:30:37.769] KD SPEAKER_02
[ 00:30:37.870 -->  00:30:38.933] KE SPEAKER_02
[ 00:30:39.270 -->  00:30:47.505] KF SPEAKER_02
[ 00:30:47.910 -->  00:30:52.652] KG SPEAKER_02
[ 00:30:53.260 -->  00:31:09.038] KH SPEAKER_02
[ 00:31:09.882 -->  00:31:16.767] KI SPEAKER_02
[ 00:31:16.969 -->  00:31:17.037] KJ SPEAKER_02
[ 00:31:17.054 -->  00:31:20.159] KK SPEAKER_02
[ 00:31:20.547 -->  00:31:21.627] KL SPEAKER_02
[ 00:31:22.133 -->  00:31:22.555] KM SPEAKER_02
[ 00:31:22.960 -->  00:31:29.457] KN SPEAKER_02
[ 00:31:29.794 -->  00:31:31.127] KO SPEAKER_02
[ 00:31:31.769 -->  00:32:15.137] KP SPEAKER_01
[ 00:32:15.323 -->  00:32:23.744] KQ SPEAKER_01
[ 00:32:24.267 -->  00:32:36.653] KR SPEAKER_01
[ 00:32:37.412 -->  00:32:39.960] KS SPEAKER_02
[ 00:32:40.247 -->  00:32:40.754] KT SPEAKER_02
[ 00:32:41.209 -->  00:32:42.930] KU SPEAKER_02
[ 00:32:43.605 -->  00:32:51.368] KV SPEAKER_02
[ 00:32:51.807 -->  00:32:52.887] KW SPEAKER_02
[ 00:32:53.275 -->  00:32:54.254] KX SPEAKER_02
[ 00:32:54.473 -->  00:32:55.958] KY SPEAKER_02
[ 00:32:56.262 -->  00:32:57.122] KZ SPEAKER_02
[ 00:32:57.595 -->  00:32:58.557] LA SPEAKER_02
[ 00:32:59.147 -->  00:33:03.214] LB SPEAKER_02
[ 00:33:03.687 -->  00:33:06.471] LC SPEAKER_02
[ 00:33:07.264 -->  00:33:09.644] LD SPEAKER_02
[ 00:33:10.285 -->  00:33:15.128] LE SPEAKER_02
[ 00:33:15.600 -->  00:33:17.946] LF SPEAKER_02
[ 00:33:18.233 -->  00:33:21.304] LG SPEAKER_02
[ 00:33:22.249 -->  00:33:22.722] LH SPEAKER_02
[ 00:33:23.734 -->  00:33:25.489] LI SPEAKER_02
[ 00:33:26.215 -->  00:33:29.050] LJ SPEAKER_02
[ 00:33:29.354 -->  00:33:33.285] LK SPEAKER_02
[ 00:33:33.674 -->  00:33:34.652] LL SPEAKER_02
[ 00:33:35.395 -->  00:33:36.964] LM SPEAKER_02
[ 00:33:37.335 -->  00:33:40.305] LN SPEAKER_02
[ 00:33:40.440 -->  00:33:41.925] LO SPEAKER_02
[ 00:33:42.381 -->  00:33:43.039] LP SPEAKER_02
[ 00:33:43.680 -->  00:33:46.549] LQ SPEAKER_02
[ 00:33:46.988 -->  00:33:51.595] LR SPEAKER_02
[ 00:33:52.000 -->  00:33:53.468] LS SPEAKER_02
[ 00:33:53.805 -->  00:33:56.370] LT SPEAKER_02
[ 00:33:56.843 -->  00:33:59.712] LU SPEAKER_02
[ 00:34:00.167 -->  00:34:05.922] LV SPEAKER_02
[ 00:34:06.630 -->  00:34:09.854] LW SPEAKER_02
[ 00:34:10.377 -->  00:34:11.946] LX SPEAKER_02
[ 00:34:12.503 -->  00:34:13.836] LY SPEAKER_02
[ 00:34:14.207 -->  00:34:15.017] LZ SPEAKER_02
[ 00:34:15.169 -->  00:34:17.717] MA SPEAKER_02
[ 00:34:18.055 -->  00:34:18.460] MB SPEAKER_02
[ 00:34:18.949 -->  00:34:20.890] MC SPEAKER_02
[ 00:34:21.345 -->  00:34:23.607] MD SPEAKER_02
[ 00:34:24.029 -->  00:34:27.134] ME SPEAKER_02
[ 00:34:27.572 -->  00:34:29.564] MF SPEAKER_02
[ 00:34:29.901 -->  00:34:35.858] MG SPEAKER_02
[ 00:34:36.280 -->  00:34:36.854] MH SPEAKER_02
[ 00:34:37.478 -->  00:34:38.541] MI SPEAKER_02
[ 00:34:39.368 -->  00:34:48.194] MJ SPEAKER_01
[ 00:34:49.527 -->  00:34:51.940] MK SPEAKER_02
[ 00:34:51.974 -->  00:35:42.042] ML SPEAKER_01
[ 00:35:42.075 -->  00:36:07.067] MM SPEAKER_01
[ 00:36:08.198 -->  00:36:40.429] MN SPEAKER_01
[ 00:36:41.054 -->  00:36:48.900] MO SPEAKER_02
[ 00:36:49.035 -->  00:37:04.274] MP SPEAKER_02
[ 00:37:04.662 -->  00:37:06.045] MQ SPEAKER_02
[ 00:37:06.569 -->  00:37:07.952] MR SPEAKER_02
[ 00:37:08.239 -->  00:37:08.880] MS SPEAKER_02
[ 00:37:09.184 -->  00:37:09.859] MT SPEAKER_02
[ 00:37:10.315 -->  00:37:13.420] MU SPEAKER_02
[ 00:37:13.774 -->  00:37:15.293] MV SPEAKER_02
[ 00:37:15.934 -->  00:37:25.519] MW SPEAKER_02
[ 00:37:26.042 -->  00:37:30.615] MX SPEAKER_02
[ 00:37:31.341 -->  00:37:34.800] MY SPEAKER_02
[ 00:37:35.037 -->  00:37:37.534] MZ SPEAKER_02
[ 00:37:37.787 -->  00:37:42.327] NA SPEAKER_02
[ 00:37:42.681 -->  00:37:52.097] NB SPEAKER_02
[ 00:37:52.604 -->  00:37:53.059] NC SPEAKER_02
[ 00:37:53.498 -->  00:37:56.029] ND SPEAKER_02
[ 00:37:56.417 -->  00:38:10.440] NE SPEAKER_02
[ 00:38:10.930 -->  00:38:14.929] NF SPEAKER_02
[ 00:38:15.115 -->  00:38:16.836] NG SPEAKER_02
[ 00:38:17.460 -->  00:38:18.861] NH SPEAKER_01
[ 00:38:18.962 -->  00:38:39.550] NI SPEAKER_01
[ 00:38:40.107 -->  00:39:05.858] NJ SPEAKER_02
[ 00:39:06.415 -->  00:39:10.431] NK SPEAKER_02
[ 00:39:11.342 -->  00:39:13.587] NL SPEAKER_02
[ 00:39:13.840 -->  00:39:14.954] NM SPEAKER_02
[ 00:39:15.426 -->  00:39:15.730] NN SPEAKER_02
[ 00:39:16.118 -->  00:39:18.075] NO SPEAKER_02
[ 00:39:18.447 -->  00:39:19.544] NP SPEAKER_02
[ 00:39:20.016 -->  00:39:20.404] NQ SPEAKER_02
[ 00:39:20.843 -->  00:39:23.796] NR SPEAKER_02
[ 00:39:24.488 -->  00:39:25.281] NS SPEAKER_02
[ 00:39:25.686 -->  00:39:29.753] NT SPEAKER_02
[ 00:39:30.192 -->  00:39:31.795] NU SPEAKER_02
[ 00:39:31.997 -->  00:39:33.921] NV SPEAKER_02
[ 00:39:34.259 -->  00:39:35.642] NW SPEAKER_02
[ 00:39:36.199 -->  00:39:42.645] NX SPEAKER_02
[ 00:39:43.169 -->  00:39:45.329] NY SPEAKER_02
[ 00:39:45.683 -->  00:39:54.779] NZ SPEAKER_02
[ 00:39:54.829 -->  00:39:55.032] OA SPEAKER_02
[ 00:39:55.065 -->  00:39:56.567] OB SPEAKER_02
[ 00:39:57.141 -->  00:39:57.597] OC SPEAKER_02
[ 00:39:58.035 -->  00:40:01.478] OD SPEAKER_02
[ 00:40:01.984 -->  00:40:03.199] OE SPEAKER_02
[ 00:40:03.570 -->  00:40:04.499] OF SPEAKER_02
[ 00:40:04.819 -->  00:40:05.562] OG SPEAKER_02
[ 00:40:06.304 -->  00:40:13.088] OH SPEAKER_02
[ 00:40:13.510 -->  00:40:24.411] OI SPEAKER_02
[ 00:40:25.187 -->  00:40:30.334] OJ SPEAKER_02
[ 00:40:30.604 -->  00:40:30.857] OK SPEAKER_02
[ 00:40:31.465 -->  00:40:33.237] OL SPEAKER_02
[ 00:40:33.810 -->  00:40:35.582] OM SPEAKER_02
