[ 00:34:53.087 -->  00:34:56.935] JK SPEAKER_01
[ 00:34:57.070 -->  00:35:05.760] JL SPEAKER_01
[ 00:35:06.537 -->  00:35:07.380] JM SPEAKER_01
[ 00:35:08.477 -->  00:35:13.219] JN SPEAKER_01
[ 00:35:13.928 -->  00:35:19.345] JO SPEAKER_01
[ 00:35:20.087 -->  00:35:27.546] JP SPEAKER_01
[ 00:35:28.035 -->  00:35:30.010] JQ SPEAKER_01
[ 00:35:30.415 -->  00:35:37.890] JR SPEAKER_01
[ 00:35:38.430 -->  00:35:46.784] JS SPEAKER_01
[ 00:35:47.357 -->  00:35:53.264] JT SPEAKER_01
[ 00:35:54.006 -->  00:35:55.744] JU SPEAKER_01
[ 00:35:56.200 -->  00:35:58.292] JV SPEAKER_01
[ 00:35:58.630 -->  00:36:00.267] JW SPEAKER_01
[ 00:36:00.419 -->  00:36:01.785] JX SPEAKER_01
[ 00:36:02.174 -->  00:36:13.277] JY SPEAKER_01
[ 00:36:13.767 -->  00:36:22.154] JZ SPEAKER_01
[ 00:36:22.474 -->  00:36:25.157] KA SPEAKER_01
[ 00:36:25.630 -->  00:36:32.110] KB SPEAKER_01
[ 00:36:32.279 -->  00:36:41.712] KC SPEAKER_01
[ 00:36:41.914 -->  00:36:43.079] KD SPEAKER_01
[ 00:36:43.990 -->  00:36:45.407] KE SPEAKER_01
[ 00:36:46.082 -->  00:36:46.099] KF SPEAKER_02
[ 00:36:46.099 -->  00:36:46.555] KG SPEAKER_01
[ 00:36:46.319 -->  00:36:47.922] KH SPEAKER_02
[ 00:36:47.787 -->  00:36:54.891] KI SPEAKER_01
[ 00:36:55.094 -->  00:37:01.270] KJ SPEAKER_01
[ 00:37:01.287 -->  00:37:30.413] KK SPEAKER_01
[ 00:37:31.122 -->  00:37:32.387] KL SPEAKER_01
[ 00:37:32.708 -->  00:37:38.597] KM SPEAKER_02
[ 00:37:38.665 -->  00:37:42.749] KN SPEAKER_02
[ 00:37:43.035 -->  00:37:53.667] KO SPEAKER_02
[ 00:37:53.835 -->  00:37:57.025] KP SPEAKER_02
[ 00:37:57.025 -->  00:37:58.662] KQ SPEAKER_01
[ 00:37:59.320 -->  00:38:04.399] KR SPEAKER_01
[ 00:38:04.652 -->  00:38:08.382] KS SPEAKER_01
[ 00:38:08.871 -->  00:38:13.140] KT SPEAKER_01
[ 00:38:13.208 -->  00:38:24.025] KU SPEAKER_01
[ 00:38:24.565 -->  00:38:33.762] KV SPEAKER_01
[ 00:38:34.049 -->  00:38:34.099] KW SPEAKER_01
[ 00:38:34.150 -->  00:38:44.005] KX SPEAKER_01
[ 00:38:44.815 -->  00:38:46.857] KY SPEAKER_01
[ 00:38:47.262 -->  00:39:07.680] KZ SPEAKER_01
[ 00:39:07.950 -->  00:39:20.489] LA SPEAKER_01
[ 00:39:20.894 -->  00:39:24.066] LB SPEAKER_01
[ 00:39:24.741 -->  00:39:37.330] LC SPEAKER_01
[ 00:39:37.701 -->  00:39:38.612] LD SPEAKER_01
[ 00:39:38.950 -->  00:39:41.903] LE SPEAKER_01
[ 00:39:42.409 -->  00:39:44.249] LF SPEAKER_01
[ 00:39:44.924 -->  00:39:47.573] LG SPEAKER_01
[ 00:39:48.265 -->  00:39:52.264] LH SPEAKER_01
[ 00:39:53.091 -->  00:40:05.224] LI SPEAKER_01
[ 00:40:05.612 -->  00:40:16.547] LJ SPEAKER_01
[ 00:40:17.172 -->  00:40:24.715] LK SPEAKER_01
[ 00:40:25.322 -->  00:40:30.672] LL SPEAKER_01
[ 00:40:30.992 -->  00:40:38.991] LM SPEAKER_01
[ 00:40:39.345 -->  00:40:42.585] LN SPEAKER_01
[ 00:40:42.940 -->  00:40:46.163] LO SPEAKER_01
[ 00:40:47.024 -->  00:40:51.141] LP SPEAKER_01
[ 00:40:52.542 -->  00:40:59.477] LQ SPEAKER_01
[ 00:40:59.730 -->  00:41:08.269] LR SPEAKER_01
[ 00:41:08.944 -->  00:41:10.429] LS SPEAKER_01
[ 00:41:11.155 -->  00:41:14.294] LT SPEAKER_01
[ 00:41:14.530 -->  00:41:19.964] LU SPEAKER_01
[ 00:41:20.267 -->  00:41:23.423] LV SPEAKER_01
[ 00:41:24.469 -->  00:41:25.347] LW SPEAKER_01
[ 00:41:25.718 -->  00:41:27.844] LX SPEAKER_01
[ 00:41:27.878 -->  00:41:33.059] LY SPEAKER_01
[ 00:41:34.037 -->  00:41:40.349] LZ SPEAKER_01
[ 00:41:40.534 -->  00:41:41.800] MA SPEAKER_01
[ 00:41:42.323 -->  00:41:43.977] MB SPEAKER_01
[ 00:41:43.977 -->  00:41:44.095] MC SPEAKER_02
[ 00:41:44.095 -->  00:41:44.972] MD SPEAKER_01
[ 00:41:44.972 -->  00:41:49.056] ME SPEAKER_02
[ 00:41:49.394 -->  00:41:52.988] MF SPEAKER_02
[ 00:41:53.663 -->  00:41:58.911] MG SPEAKER_02
[ 00:41:59.755 -->  00:42:00.649] MH SPEAKER_02
[ 00:42:01.257 -->  00:42:03.839] MI SPEAKER_02
[ 00:42:01.628 -->  00:42:02.084] MJ SPEAKER_01
[ 00:42:03.839 -->  00:42:03.872] MK SPEAKER_01
[ 00:42:04.817 -->  00:42:17.592] ML SPEAKER_02
[ 00:42:04.986 -->  00:42:05.577] MM SPEAKER_01
[ 00:42:05.914 -->  00:42:05.965] MN SPEAKER_01
[ 00:42:18.081 -->  00:42:20.123] MO SPEAKER_02
[ 00:42:20.258 -->  00:42:20.292] MP SPEAKER_02
[ 00:42:20.292 -->  00:42:20.359] MQ SPEAKER_01
[ 00:42:20.359 -->  00:42:20.494] MR SPEAKER_02
[ 00:42:20.494 -->  00:42:27.379] MS SPEAKER_01
[ 00:42:27.700 -->  00:42:32.931] MT SPEAKER_01
[ 00:42:33.707 -->  00:42:41.200] MU SPEAKER_01
[ 00:42:41.588 -->  00:42:42.449] MV SPEAKER_01
[ 00:42:43.056 -->  00:42:43.596] MW SPEAKER_01
[ 00:42:44.119 -->  00:42:44.828] MX SPEAKER_01
[ 00:42:45.115 -->  00:42:46.769] MY SPEAKER_01
[ 00:42:47.190 -->  00:42:51.848] MZ SPEAKER_01
[ 00:42:51.966 -->  00:43:06.563] NA SPEAKER_01
[ 00:43:07.187 -->  00:43:11.474] NB SPEAKER_01
[ 00:43:11.541 -->  00:43:15.034] NC SPEAKER_01
[ 00:43:16.469 -->  00:43:20.654] ND SPEAKER_01
[ 00:43:21.227 -->  00:43:22.932] NE SPEAKER_01
[ 00:43:23.269 -->  00:43:34.795] NF SPEAKER_01
[ 00:43:35.706 -->  00:43:42.254] NG SPEAKER_01
[ 00:43:42.608 -->  00:43:47.080] NH SPEAKER_01
[ 00:43:47.485 -->  00:43:56.631] NI SPEAKER_01
[ 00:43:56.952 -->  00:44:00.732] NJ SPEAKER_01
[ 00:44:01.035 -->  00:44:08.039] NK SPEAKER_01
[ 00:44:08.258 -->  00:44:09.794] NL SPEAKER_01
[ 00:44:09.861 -->  00:44:10.418] NM SPEAKER_01
[ 00:44:10.637 -->  00:44:15.008] NN SPEAKER_01
[ 00:44:15.565 -->  00:44:45.467] NO SPEAKER_01
[ 00:44:46.142 -->  00:44:48.319] NP SPEAKER_01
[ 00:44:48.707 -->  00:44:50.175] NQ SPEAKER_01
[ 00:44:51.019 -->  00:45:20.432] NR SPEAKER_01
[ 00:45:20.854 -->  00:45:27.959] NS SPEAKER_01
[ 00:45:28.515 -->  00:45:31.654] NT SPEAKER_01
[ 00:45:32.211 -->  00:45:35.789] NU SPEAKER_01
[ 00:45:35.974 -->  00:45:51.972] NV SPEAKER_01
[ 00:45:51.972 -->  00:46:40.403] NW SPEAKER_02
[ 00:45:58.637 -->  00:45:59.177] NX SPEAKER_01
[ 00:46:00.207 -->  00:46:00.915] NY SPEAKER_01
[ 00:46:41.196 -->  00:46:42.529] NZ SPEAKER_02
[ 00:46:43.103 -->  00:46:47.524] OA SPEAKER_02
[ 00:46:48.689 -->  00:46:52.334] OB SPEAKER_02
[ 00:46:52.334 -->  00:46:54.932] OC SPEAKER_01
[ 00:46:52.384 -->  00:46:52.587] OD SPEAKER_02
[ 00:46:55.067 -->  00:46:56.805] OE SPEAKER_01
[ 00:46:57.227 -->  00:46:59.961] OF SPEAKER_01
[ 00:47:00.940 -->  00:47:05.226] OG SPEAKER_01
[ 00:47:05.699 -->  00:47:08.601] OH SPEAKER_01
[ 00:47:09.124 -->  00:47:11.790] OI SPEAKER_01
[ 00:47:12.600 -->  00:47:14.355] OJ SPEAKER_01
[ 00:47:14.693 -->  00:47:15.908] OK SPEAKER_01
[ 00:47:15.975 -->  00:47:15.992] OL SPEAKER_01
[ 00:47:16.212 -->  00:47:20.144] OM SPEAKER_01
[ 00:47:20.852 -->  00:47:26.995] ON SPEAKER_01
[ 00:47:27.434 -->  00:47:28.784] OO SPEAKER_01
[ 00:47:29.509 -->  00:47:32.361] OP SPEAKER_01
[ 00:47:33.002 -->  00:47:38.250] OQ SPEAKER_01
[ 00:47:38.858 -->  00:47:41.389] OR SPEAKER_01
[ 00:47:42.132 -->  00:47:42.756] OS SPEAKER_01
[ 00:47:43.853 -->  00:47:44.646] OT SPEAKER_01
[ 00:47:44.950 -->  00:47:47.920] OU SPEAKER_01
[ 00:47:48.780 -->  00:47:56.712] OV SPEAKER_01
[ 00:47:57.842 -->  00:48:15.274] OW SPEAKER_01
[ 00:48:15.527 -->  00:48:35.474] OX SPEAKER_01
[ 00:48:35.777 -->  00:48:41.262] OY SPEAKER_01
[ 00:48:41.970 -->  00:48:43.877] OZ SPEAKER_01
[ 00:48:45.008 -->  00:49:09.477] PA SPEAKER_01
[ 00:49:10.034 -->  00:49:11.822] PB SPEAKER_01
[ 00:49:12.278 -->  00:49:14.472] PC SPEAKER_01
[ 00:49:14.860 -->  00:49:18.640] PD SPEAKER_01
[ 00:49:19.416 -->  00:49:23.010] PE SPEAKER_01
[ 00:49:23.483 -->  00:49:24.968] PF SPEAKER_01
[ 00:49:26.132 -->  00:49:28.309] PG SPEAKER_01
[ 00:49:28.934 -->  00:49:29.355] PH SPEAKER_01
[ 00:49:30.132 -->  00:49:34.553] PI SPEAKER_01
[ 00:49:35.127 -->  00:49:37.624] PJ SPEAKER_01
[ 00:49:38.215 -->  00:49:42.906] PK SPEAKER_01
[ 00:49:43.480 -->  00:49:44.745] PL SPEAKER_01
[ 00:49:45.674 -->  00:49:47.412] PM SPEAKER_01
[ 00:49:47.631 -->  00:49:52.592] PN SPEAKER_01
[ 00:49:53.065 -->  00:49:53.723] PO SPEAKER_01
[ 00:49:53.875 -->  00:49:56.254] PP SPEAKER_01
