[ 00:18:27.705 -->  00:18:29.157] MC SPEAKER_02
[ 00:18:29.511 -->  00:18:34.320] MD SPEAKER_02
[ 00:18:34.827 -->  00:18:39.079] ME SPEAKER_02
[ 00:18:39.113 -->  00:18:39.670] MF SPEAKER_02
[ 00:18:40.868 -->  00:18:46.049] MG SPEAKER_02
[ 00:18:47.010 -->  00:18:49.660] MH SPEAKER_02
[ 00:18:49.997 -->  00:18:52.596] MI SPEAKER_02
[ 00:18:53.035 -->  00:18:59.835] MJ SPEAKER_02
[ 00:19:01.304 -->  00:19:02.687] MK SPEAKER_02
[ 00:19:03.042 -->  00:19:04.037] ML SPEAKER_02
[ 00:19:04.240 -->  00:19:05.995] MM SPEAKER_02
[ 00:19:06.164 -->  00:19:08.729] MN SPEAKER_02
[ 00:19:09.117 -->  00:19:12.390] MO SPEAKER_02
[ 00:19:12.795 -->  00:19:15.816] MP SPEAKER_02
[ 00:19:16.356 -->  00:19:18.364] MQ SPEAKER_02
[ 00:19:18.803 -->  00:19:20.541] MR SPEAKER_02
[ 00:19:20.963 -->  00:19:21.537] MS SPEAKER_02
[ 00:19:22.195 -->  00:19:23.005] MT SPEAKER_02
[ 00:19:23.157 -->  00:19:27.561] MU SPEAKER_02
[ 00:19:28.202 -->  00:19:30.312] MV SPEAKER_02
[ 00:19:29.856 -->  00:19:35.509] MW SPEAKER_01
[ 00:19:33.214 -->  00:19:33.687] MX SPEAKER_02
[ 00:19:35.897 -->  00:19:47.322] MY SPEAKER_01
[ 00:19:36.606 -->  00:19:37.534] MZ SPEAKER_02
[ 00:19:47.558 -->  00:19:54.612] NA SPEAKER_01
[ 00:19:55.439 -->  00:20:00.029] NB SPEAKER_01
[ 00:20:00.113 -->  00:20:05.175] NC SPEAKER_01
[ 00:20:05.783 -->  00:20:10.204] ND SPEAKER_01
[ 00:20:10.575 -->  00:20:12.246] NE SPEAKER_01
[ 00:20:12.634 -->  00:20:14.879] NF SPEAKER_01
[ 00:20:15.165 -->  00:20:18.270] NG SPEAKER_02
[ 00:20:15.317 -->  00:20:15.672] NH SPEAKER_01
[ 00:20:18.692 -->  00:20:19.418] NI SPEAKER_02
[ 00:20:19.452 -->  00:20:19.874] NJ SPEAKER_01
[ 00:20:19.874 -->  00:20:24.835] NK SPEAKER_02
[ 00:20:25.695 -->  00:20:27.585] NL SPEAKER_02
[ 00:20:27.906 -->  00:20:29.037] NM SPEAKER_02
[ 00:20:29.037 -->  00:20:31.095] NN SPEAKER_01
[ 00:20:32.682 -->  00:20:35.061] NO SPEAKER_01
[ 00:20:34.049 -->  00:20:37.812] NP SPEAKER_02
[ 00:20:38.217 -->  00:20:42.115] NQ SPEAKER_02
[ 00:20:42.807 -->  00:20:44.410] NR SPEAKER_02
[ 00:20:42.992 -->  00:20:43.735] NS SPEAKER_01
[ 00:20:44.410 -->  00:20:57.252] NT SPEAKER_01
[ 00:20:49.388 -->  00:20:52.223] NU SPEAKER_02
[ 00:20:57.387 -->  00:20:59.479] NV SPEAKER_02
[ 00:21:00.272 -->  00:21:04.660] NW SPEAKER_02
