[ 00:48:10.161 -->  00:48:13.620] JD SPEAKER_02
[ 00:48:14.093 -->  00:48:17.080] JE SPEAKER_01
[ 00:48:17.485 -->  00:48:21.771] JF SPEAKER_01
[ 00:48:22.362 -->  00:48:26.732] JG SPEAKER_02
[ 00:48:27.171 -->  00:48:33.398] JH SPEAKER_01
[ 00:48:33.769 -->  00:48:34.444] JI SPEAKER_01
[ 00:48:34.866 -->  00:48:36.554] JJ SPEAKER_01
[ 00:48:36.908 -->  00:48:38.916] JK SPEAKER_01
[ 00:48:39.186 -->  00:48:47.708] JL SPEAKER_01
[ 00:48:47.826 -->  00:48:50.374] JM SPEAKER_01
[ 00:48:50.729 -->  00:48:53.412] JN SPEAKER_01
[ 00:48:53.580 -->  00:48:57.698] JO SPEAKER_01
[ 00:48:58.002 -->  00:49:01.495] JP SPEAKER_02
[ 00:49:02.220 -->  00:49:03.300] JQ SPEAKER_02
[ 00:49:03.587 -->  00:49:32.123] JR SPEAKER_02
